timestamp,name,price,change_24h,market_cap
2025-12-03 23:08:27,52,"Polygon (prev. MATIC)
POL
Buy",0.68%,6.33%
2025-12-03 23:08:27,53,"KuCoin Token
KCS
Buy",0.25%,13.56%
2025-12-03 23:08:27,54,"Global Dollar
USDG
Buy",0.01%,0.02%
2025-12-03 23:08:27,55,"Sky
SKY
Buy",0.65%,24.88%
2025-12-03 23:08:27,56,"Algorand
ALGO
Buy",0.69%,3.14%
2025-12-03 23:08:27,57,"Arbitrum
ARB
Buy",1.21%,0.95%
2025-12-03 23:08:27,58,"OFFICIAL TRUMP
TRUMP
Buy",0.45%,3.05%
2025-12-03 23:08:27,59,"VeChain
VET
Buy",0.10%,2.58%
2025-12-03 23:23:25,,"CoinMarketCap 20 Index DTF
CMC20
Buy",0.89%,3.32%
2025-12-03 23:23:25,1,"Bitcoin
BTC
Buy",0.37%,3.63%
2025-12-03 23:23:25,2,"Ethereum
ETH
Buy",0.89%,3.64%
2025-12-03 23:23:25,3,"Tether
USDT
Buy",0.01%,0.01%
2025-12-03 23:23:25,4,"XRP
XRP
Buy",0.26%,2.38%
2025-12-03 23:23:25,5,"BNB
BNB
Buy",0.31%,1.80%
2025-12-03 23:23:25,6,"Solana
SOL
Buy",0.18%,1.20%
2025-12-03 23:23:25,7,"USDC
USDC
Buy",0.00%,0.01%
2025-12-03 23:23:25,8,"TRON
TRX
Buy",0.00%,1.35%
2025-12-03 23:23:25,9,"Dogecoin
DOGE
Buy",0.43%,2.90%
2025-12-03 23:23:25,10,"Cardano
ADA
Buy",0.73%,3.05%
2025-12-03 23:23:25,11,"Bitcoin Cash
BCH
Buy",0.56%,9.69%
2025-12-03 23:23:25,12,"Hyperliquid
HYPE
Buy",0.28%,2.73%
2025-12-03 23:23:25,13,"Chainlink
LINK
Buy",0.05%,8.32%
2025-12-03 23:23:25,14,"UNUS SED LEO
LEO
Buy",0.09%,3.08%
2025-12-03 23:23:25,15,"Stellar
XLM
Buy",0.06%,0.33%
2025-12-03 23:23:25,16,"Monero
XMR
Buy",0.19%,2.30%
2025-12-03 23:23:25,17,"Ethena USDe
USDe
Buy",0.00%,0.04%
2025-12-03 23:23:25,18,"Litecoin
LTC
Buy",0.05%,0.91%
2025-12-03 23:23:25,19,"Sui
SUI
Buy",0.83%,10.28%
2025-12-03 23:23:25,20,"Hedera
HBAR
Buy",0.21%,1.15%
2025-12-03 23:23:25,21,"Avalanche
AVAX
Buy",0.69%,0.02%
2025-12-03 23:28:34,,"CoinMarketCap 20 Index DTF
CMC20
Buy",1.03%,3.31%
2025-12-03 23:28:34,1,"Bitcoin
BTC
Buy",0.38%,3.75%
2025-12-03 23:28:34,2,"Ethereum
ETH
Buy",0.88%,3.83%
2025-12-03 23:28:34,3,"Tether
USDT
Buy",0.00%,0.05%
2025-12-03 23:28:34,4,"XRP
XRP
Buy",0.16%,2.41%
2025-12-03 23:28:34,5,"BNB
BNB
Buy",0.53%,2.06%
2025-12-03 23:28:34,6,"Solana
SOL
Buy",0.18%,1.20%
2025-12-03 23:28:34,7,"USDC
USDC
Buy",0.00%,0.01%
2025-12-03 23:28:34,8,"TRON
TRX
Buy",0.02%,1.30%
2025-12-03 23:28:34,9,"Dogecoin
DOGE
Buy",0.70%,2.80%
2025-12-03 23:28:34,10,"Cardano
ADA
Buy",0.90%,2.97%
2025-12-03 23:28:34,11,"Bitcoin Cash
BCH
Buy",0.60%,9.46%
2025-12-03 23:28:34,12,"Hyperliquid
HYPE
Buy",0.29%,2.77%
2025-12-03 23:28:34,13,"Chainlink
LINK
Buy",0.38%,8.36%
2025-12-03 23:28:34,14,"UNUS SED LEO
LEO
Buy",0.10%,3.16%
2025-12-03 23:28:34,15,"Stellar
XLM
Buy",0.06%,0.33%
2025-12-03 23:28:34,16,"Monero
XMR
Buy",0.14%,2.34%
2025-12-03 23:28:34,17,"Ethena USDe
USDe
Buy",0.01%,0.03%
2025-12-03 23:28:34,18,"Litecoin
LTC
Buy",0.24%,0.79%
2025-12-03 23:28:34,19,"Sui
SUI
Buy",0.60%,10.38%
2025-12-03 23:28:34,20,"Hedera
HBAR
Buy",0.52%,1.12%
2025-12-03 23:28:34,21,"Avalanche
AVAX
Buy",0.65%,0.23%
2025-12-03 23:28:34,22,"Zcash
ZEC
Buy",1.88%,32.08%
2025-12-03 23:28:34,23,"Shiba Inu
SHIB
Buy",1.68%,8.87%
2025-12-03 23:28:34,24,"Dai
DAI
Buy",0.00%,0.01%
2025-12-03 23:28:34,25,"World Liberty Financial
WLFI
Buy",0.34%,1.94%
2025-12-03 23:28:34,26,"Cronos
CRO
Buy",0.08%,1.47%
2025-12-03 23:28:34,27,"Toncoin
TON
Buy",0.57%,2.58%
2025-12-03 23:28:34,28,"Polkadot
DOT
Buy",1.05%,0.83%
2025-12-03 23:28:34,29,"Uniswap
UNI
Buy",0.60%,4.77%
2025-12-03 23:28:34,30,"PayPal USD
PYUSD
Buy",0.00%,0.02%
